5 min - 100 users - initial (200 Order placements / min)
15:45:25:1500 queued=201, executed=509, deposits=1220, withdrawals=1034, placements=1035
15:45:30:3220 queued=201, executed=525, deposits=1252, withdrawals=1060, placements=1061
15:45:35:9920 queued=201, executed=542, deposits=1285, withdrawals=1085, placements=1086
15:45:42:0140 queued=201, executed=557, deposits=1315, withdrawals=1112, placements=1114
15:45:47:6750 queued=201, executed=573, deposits=1347, withdrawals=1138, placements=1140
15:45:53:9280 queued=201, executed=591, deposits=1384, withdrawals=1161, placements=1162
15:46:00:5590 queued=201, executed=607, deposits=1416, withdrawals=1187, placements=1188
15:46:07:5290 queued=201, executed=624, deposits=1449, withdrawals=1212, placements=1213
15:46:14:1760 queued=201, executed=640, deposits=1482, withdrawals=1238, placements=1238

OrderBook as own actor / wo EventStore (1200 orders / sec !!!!)
17:17:22:8160 queued=0, executed=0, deposits=99, withdrawals=0, placements=0
17:17:22:8340 queued=0, executed=0, deposits=199, withdrawals=0, placements=0
17:17:22:8500 queued=0, executed=0, deposits=202, withdrawals=0, placements=97
17:17:22:8700 queued=0, executed=0, deposits=202, withdrawals=0, placements=197
17:17:22:9660 queued=3, executed=3, deposits=202, withdrawals=89, placements=202
17:17:22:9880 queued=18, executed=20, deposits=202, withdrawals=157, placements=202
17:17:23:0010 queued=46, executed=44, deposits=205, withdrawals=202, placements=202
17:17:23:0250 queued=95, executed=95, deposits=205, withdrawals=202, placements=202
17:17:23:0610 queued=102, executed=101, deposits=249, withdrawals=202, placements=245
17:17:23:0690 queued=102, executed=101, deposits=303, withdrawals=202, placements=291
17:17:23:0740 queued=102, executed=101, deposits=353, withdrawals=202, placements=341
17:17:23:0940 queued=102, executed=101, deposits=400, withdrawals=202, placements=394
17:17:23:1550 queued=121, executed=104, deposits=404, withdrawals=266, placements=404
17:17:23:1640 queued=131, executed=105, deposits=404, withdrawals=355, placements=404
17:17:23:1920 queued=160, executed=111, deposits=420, withdrawals=404, placements=404
17:17:23:2220 queued=180, executed=137, deposits=474, withdrawals=404, placements=404
17:17:23:2530 queued=203, executed=162, deposits=520, withdrawals=404, placements=410
17:17:23:2620 queued=203, executed=202, deposits=560, withdrawals=404, placements=430
17:17:23:2640 queued=203, executed=202, deposits=572, withdrawals=404, placements=518
17:17:23:2760 queued=203, executed=202, deposits=597, withdrawals=404, placements=593
17:17:23:3410 queued=208, executed=207, deposits=608, withdrawals=470, placements=606
17:17:23:3580 queued=222, executed=212, deposits=612, withdrawals=547, placements=606
17:17:23:3750 queued=241, executed=224, deposits=638, withdrawals=588, placements=608
17:17:23:3950 queued=273, executed=236, deposits=674, withdrawals=606, placements=610
